Record Length,20480,,Source,CH1
Sample Interval,CH1:0.0000000040000,,Second,Volt
,,,-0.00004024400,0.00800,
,,,-0.00004024000,0.00,
,,,-0.00004023600,0.02000,
,,,-0.00004023200,-0.00400,
,,,-0.00004022800,0.01600,
,,,-0.00004022400,0.00200,
,,,-0.00004022000,0.01000,
,,,-0.00004021600,0.01200,
,,,-0.00004021200,0.00,
,,,-0.00004020800,0.01800,
,,,-0.00004020400,-0.00200,
,,,-0.00004020000,0.01400,
,,,-0.00004019600,0.00200,
,,,-0.00004019200,0.01000,
,,,-0.00004018800,0.01000,
,,,-0.00004018400,0.00200,
,,,-0.00004018000,0.01600,
,,,-0.00004017600,-0.00200,
,,,-0.00004017200,0.01800,
,,,-0.00004016800,0.00,
,,,-0.00004016400,0.01000,
,,,-0.00004016000,0.00800,
,,,-0.00004015600,0.00200,
,,,-0.00004015200,0.01600,
,,,-0.00004014800,-0.00200,
,,,-0.00004014400,0.01400,
,,,-0.00004014000,0.00,
,,,-0.00004013600,0.01000,
,,,-0.00004013200,0.01000,
,,,-0.00004012800,0.00400,
,,,-0.00004012400,0.01400,
,,,-0.00004012000,-0.00200,
,,,-0.00004011600,0.01800,
,,,-0.00004011200,-0.00200,
,,,-0.00004010800,0.01200,
,,,-0.00004010400,0.00800,
,,,-0.00004010000,0.00200,
,,,-0.00004009600,0.01800,
,,,-0.00004009200,-0.00600,
,,,-0.00004008800,0.01800,
,,,-0.00004008400,0.00,
,,,-0.00004008000,0.01000,
,,,-0.00004007600,0.01000,
,,,-0.00004007200,0.00,
,,,-0.00004006800,0.01800,
,,,-0.00004006400,-0.00400,
,,,-0.00004006000,0.01600,
,,,-0.00004005600,0.00200,
,,,-0.00004005200,0.01000,
,,,-0.00004004800,0.01000,
,,,-0.00004004400,0.00200,
,,,-0.00004004000,0.01600,
,,,-0.00004003600,0.00,
,,,-0.00004003200,0.01600,
,,,-0.00004002800,0.00,
,,,-0.00004002400,0.01000,
,,,-0.00004002000,0.00800,
,,,-0.00004001600,0.00400,
,,,-0.00004001200,0.01400,
,,,-0.00004000800,-0.00200,
,,,-0.00004000400,0.01600,
,,,-0.00004000000,-0.00200,
,,,-0.00003999600,0.01400,
,,,-0.00003999200,0.00600,
,,,-0.00003998800,0.00400,
,,,-0.00003998400,0.01600,
,,,-0.00003998000,-0.00200,
,,,-0.00003997600,0.01800,
,,,-0.00003997200,-0.00200,
,,,-0.00003996800,0.01200,
,,,-0.00003996400,0.00800,
,,,-0.00003996000,0.00200,
,,,-0.00003995600,0.01600,
,,,-0.00003995200,-0.00400,
,,,-0.00003994800,0.01800,
,,,-0.00003994400,-0.00200,
,,,-0.00003994000,0.01400,
,,,-0.00003993600,0.01000,
,,,-0.00003993200,0.00,
,,,-0.00003992800,0.01800,
,,,-0.00003992400,-0.00400,
,,,-0.00003992000,0.01800,
,,,-0.00003991600,0.00200,
,,,-0.00003991200,0.01000,
,,,-0.00003990800,0.01200,
,,,-0.00003990400,0.00400,
,,,-0.00003990000,0.01600,
,,,-0.00003989600,0.00200,
,,,-0.00003989200,0.01600,
,,,-0.00003988800,0.00200,
,,,-0.00003988400,0.01200,
,,,-0.00003988000,0.00800,
,,,-0.00003987600,0.00600,
,,,-0.00003987200,0.01400,
,,,-0.00003986800,0.00,
,,,-0.00003986400,0.01600,
,,,-0.00003986000,0.00,
,,,-0.00003985600,0.01400,
,,,-0.00003985200,0.00600,
,,,-0.00003984800,0.00400,
,,,-0.00003984400,0.01600,
,,,-0.00003984000,0.00,
,,,-0.00003983600,0.01800,
,,,-0.00003983200,0.00,
,,,-0.00003982800,0.01200,
,,,-0.00003982400,0.00800,
,,,-0.00003982000,0.00400,
,,,-0.00003981600,0.01800,
,,,-0.00003981200,-0.00200,
,,,-0.00003980800,0.02000,
,,,-0.00003980400,0.00,
,,,-0.00003980000,0.01400,
,,,-0.00003979600,0.01000,
,,,-0.00003979200,0.00,
,,,-0.00003978800,0.01800,
,,,-0.00003978400,-0.00200,
,,,-0.00003978000,0.01600,
,,,-0.00003977600,0.00200,
,,,-0.00003977200,0.01000,
,,,-0.00003976800,0.01200,
,,,-0.00003976400,0.00400,
,,,-0.00003976000,0.01600,
,,,-0.00003975600,0.00,
,,,-0.00003975200,0.01600,
,,,-0.00003974800,0.00200,
,,,-0.00003974400,0.01200,
,,,-0.00003974000,0.00800,
,,,-0.00003973600,0.00400,
,,,-0.00003973200,0.01600,
,,,-0.00003972800,0.00,
,,,-0.00003972400,0.01400,
,,,-0.00003972000,0.00200,
,,,-0.00003971600,0.01000,
,,,-0.00003971200,0.01000,
,,,-0.00003970800,0.00400,
,,,-0.00003970400,0.01400,
,,,-0.00003970000,0.00,
,,,-0.00003969600,0.01800,
,,,-0.00003969200,0.00,
,,,-0.00003968800,0.01200,
,,,-0.00003968400,0.01000,
,,,-0.00003968000,0.00200,
,,,-0.00003967600,0.01800,
,,,-0.00003967200,-0.00200,
,,,-0.00003966800,0.01600,
,,,-0.00003966400,0.00200,
,,,-0.00003966000,0.00800,
,,,-0.00003965600,0.01200,
,,,-0.00003965200,0.00,
,,,-0.00003964800,0.01800,
,,,-0.00003964400,-0.00200,
,,,-0.00003964000,0.01400,
,,,-0.00003963600,0.00400,
,,,-0.00003963200,0.00600,
,,,-0.00003962800,0.00800,
,,,-0.00003962400,-0.00400,
,,,-0.00003962000,0.01000,
,,,-0.00003961600,-0.00400,
,,,-0.00003961200,0.01000,
