X--Trace 1::[I(C2:1) | I(PR2)];Y--Trace 1::[I(C2:1) | I(PR2)];;X--Trace 2::[V(out2) | V(PR1)];Y--Trace 2::[V(out2) | V(PR1)]
1.00952E-05;-0.00734896;;1.00952E-05;10.33888082
1.00962E-05;-0.007348962;;1.00962E-05;10.33554038
1.00972E-05;-0.007348963;;1.00972E-05;10.33219995
1.00982E-05;-0.007348965;;1.00982E-05;10.32885951
1.00992E-05;-0.007348967;;1.00992E-05;10.32551907
1.01002E-05;-0.007348968;;1.01002E-05;10.32217863
1.01012E-05;-0.00734897;;1.01012E-05;10.31883819
1.01022E-05;-0.007348972;;1.01022E-05;10.31549775
1.01032E-05;-0.007348973;;1.01032E-05;10.31215731
1.01042E-05;-0.007348975;;1.01042E-05;10.30881686
1.01052E-05;-0.007348977;;1.01052E-05;10.30547642
1.01062E-05;-0.007348978;;1.01062E-05;10.30213598
1.01072E-05;-0.00734898;;1.01072E-05;10.29879553
1.01082E-05;-0.007348981;;1.01082E-05;10.29545508
1.01092E-05;-0.007348983;;1.01092E-05;10.29211464
1.01102E-05;-0.007348984;;1.01102E-05;10.28877419
1.01112E-05;-0.007348986;;1.01112E-05;10.28543374
1.01122E-05;-0.007348988;;1.01122E-05;10.28209329
1.01132E-05;-0.007348989;;1.01132E-05;10.27875285
1.01142E-05;-0.007348991;;1.01142E-05;10.2754124
1.01152E-05;-0.007348992;;1.01152E-05;10.27207194
1.01162E-05;-0.007348994;;1.01162E-05;10.26873149
1.01172E-05;-0.007348995;;1.01172E-05;10.26539104
1.01182E-05;-0.007348997;;1.01182E-05;10.26205059
1.01192E-05;-0.007348998;;1.01192E-05;10.25871014
1.01202E-05;-0.007349;;1.01202E-05;10.25536968
1.01212E-05;-0.007349001;;1.01212E-05;10.25202923
1.01222E-05;-0.007349003;;1.01222E-05;10.24868877
1.01232E-05;-0.007349004;;1.01232E-05;10.24534831
1.01242E-05;-0.007349006;;1.01242E-05;10.24200786
1.01252E-05;-0.007349007;;1.01252E-05;10.2386674
1.01262E-05;-0.007349009;;1.01262E-05;10.23532694
1.01272E-05;-0.00734901;;1.01272E-05;10.23198648
1.01282E-05;-0.007349012;;1.01282E-05;10.22864602
1.01292E-05;-0.007349013;;1.01292E-05;10.22530556
1.01302E-05;-0.007349015;;1.01302E-05;10.2219651
1.01312E-05;-0.007349016;;1.01312E-05;10.21862464
1.01322E-05;-0.007349018;;1.01322E-05;10.21528418
1.01332E-05;-0.007349019;;1.01332E-05;10.21194371
1.01342E-05;-0.007349021;;1.01342E-05;10.20860325
1.01352E-05;-0.007349022;;1.01352E-05;10.20526279
1.01362E-05;-0.007349023;;1.01362E-05;10.20192232
1.01372E-05;-0.007349025;;1.01372E-05;10.19858186
1.01382E-05;-0.007349026;;1.01382E-05;10.19524139
1.01392E-05;-0.007349028;;1.01392E-05;10.19190092
1.01402E-05;-0.007349029;;1.01402E-05;10.18856046
1.01412E-05;-0.00734903;;1.01412E-05;10.18521999
1.01422E-05;-0.007349032;;1.01422E-05;10.18187952
